"Country"	"Latitude"	"Longitude"	"SiteName"	"Period"	"PhaseCode"	"LabCode"	"C14BP"	"C14SD"	"Material"	"bib"	"bib_url"
"France"	43.59501	7.00635	"Les Breguieres"	"EN"	"C8"	"LTL-13780A"	6101	45	"F"	"Provost et al. 2017"	"10.4000/galliap.620"
"France"	43.59501	7.00635	"Les Breguieres"	"EN"	"C5"	"LTL-8479A"	6032	45	"F"	"Provost et al. 2017"	"10.4000/galliap.620"
"France"	43.59501	7.00635	"Les Breguieres"	"EN"	"C5"	"LTL-8483A"	5971	45	"F"	"Provost et al. 2017"	"10.4000/galliap.620"
"France"	43.59501	7.00635	"Les Breguieres"	"EN"	"C2"	"LTL-12317A"	5870	45	"F"	"Provost et al. 2017"	"10.4000/galliap.620"
"France"	43.59501	7.00635	"Les Breguieres"	"EN"	"C8"	"LTL-13784A"	6151	45	"H"	"Provost et al. 2017"	"10.4000/galliap.620"
"France"	43.59501	7.00635	"Les Breguieres"	"EN"	"C5"	"LTL-8482A"	6104	45	"H"	"Provost et al. 2017"	"10.4000/galliap.620"
"France"	43.59501	7.00635	"Les Breguieres"	"EN"	"C5"	"LTL-12316A"	5964	45	"H"	"Provost et al. 2017"	"10.4000/galliap.620"
"France"	43.59501	7.00635	"Les Breguieres"	"EN"	"n/a"	"LTL-12315A"	5864	45	"H"	"Provost et al. 2017"	"10.4000/galliap.620"
"France"	43.59501	7.00635	"Les Breguieres"	"EN"	"C1"	"LTL-15033A"	5966	45	"WC"	"Provost et al. 2017"	"10.4000/galliap.620"
"France"	43.59501	7.00635	"Les Breguieres"	"EN"	NA	"LTL-18523A"	5920	35	"H"	"Rivollat et al."	"10.1126/sciadv.aaz5344"
"France"	43.49	2.89	"Camprafaud"	"EN"	"C20"	"Gif-3077"	7900	150	"WC"	"Rodriguez 1984"	"Rodriguez84"
"France"	43.49	2.89	"Camprafaud"	"EN"	"C19"	"Gif-1491"	6300	140	"WC"	"Rodriguez 1984"	"Rodriguez84"
"France"	43.49	2.89	"Camprafaud"	"EN"	"C16"	"Gif-1488"	5900	140	"WC"	"Rodriguez 1984"	"Rodriguez84"
"France"	43.49	2.89	"Camprafaud"	"EN"	"C17"	"Gif-1489"	5900	140	"WC"	"Rodriguez 1984"	"Rodriguez84"
"France"	43.49	2.89	"Camprafaud"	"EN"	"C18"	"Gif-1490"	5800	140	"WC"	"Rodriguez 1984"	"Rodriguez84"
"France"	43.49	2.89	"Camprafaud"	"EN"	"C19"	"Gif-3078"	6480	130	"WC"	"Rodriguez 1984"	"Rodriguez84"
"France"	44.12	3.18	"La Poujade"	"LMEN"	"C8b"	"MC-1239"	8010	145	"WC"	"Roussot-Laroque et Burnez 1992"	"Roussot92"
"France"	44.45	4.42	"Combe Obscure"	"EN"	"Niv. 5"	"Ly-423"	6400	160	"WC"	"Saumade 1969"	"https://www.jstor.org/stable/27916776"
"France"	44.092609	4.852488	"Le Baratin"	"EN"	"St. 2"	"Ly-100 (OxA)"	6125	80	"WC"	"Senepart 2014"	"Senepart14"
"France"	44.092609	4.852488	"Le Baratin"	"EN"	"St. 1"	"Ly-252 (OxA)"	6290	70	"WC"	"Senepart 2014"	"Senepart14"
"France"	44.092609	4.852488	"Le Baratin"	"EN"	"St. 5"	"Ly-99 (OxA)"	6145	70	"WC"	"Senepart 2014"	"Senepart14"
"France"	44.092609	4.852488	"Le Baratin"	"EN"	"St.8 F3 "	"Ly-4725"	6355	40	"WC"	"Senepart 2014"	"Senepart14"
"France"	44.092609	4.852488	"Le Baratin"	"EN"	"St. 8, F2/2"	"Ly-4728 (OxA) "	6310	35	"WC"	"Senepart 2014"	"Senepart14"
"France"	44.092609	4.852488	"Le Baratin"	"EN"	"St. 8, F2/1"	"Ly-4727 (OxA) "	6240	35	"WC"	"Senepart 2014"	"Senepart14"
"France"	44.092609	4.852488	"Le Baratin"	"EN"	"St. 8, F1"	"Ly-4726 (OxA)"	6210	35	"WC"	"Senepart 2014"	"Senepart14"
"France"	45.354	5.886	"Aulp du Seuil"	"LMEN"	"C1 "	"Ly-7092"	6690	115	"F"	"Shennan et Steele 2000"	"Shennan00"
"France"	45.354	5.886	"Aulp du Seuil"	"LMEN"	"C2I C3"	"Ly-7096 "	5615	105	"F"	"Shennan et Steele 2000"	"Shennan00"
"France"	45.354	5.886	"Aulp du Seuil"	"LMEN"	"Shelter 1 Hearth G4 C1"	"Ly-8635 "	5490	45	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	45.209	5.633	"La Grande Rivoire"	"EN"	"B1 foyer"	"Ly-4446"	5690	100	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	44.7	1.72	"Le Sanglier Grotte"	"EN"	"C3B"	"Ly-7791"	6095	100	"F"	"Shennan et Steele 2000"	"Shennan00"
"France"	44.7	1.72	"Le Sanglier Grotte"	"LMEN"	"C4"	"Ly-33 (OxA-4551)"	6915	70	"F"	"Shennan et Steele 2000"	"Shennan00"
"France"	46.7333	0.533333	"Les Rocs"	"LM"	"foyer 92"	"Gif-9957"	7510	90	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	46.7333	0.533333	"Les Usclades"	"LM"	"C4A"	"Gif-8436"	6780	80	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	46.7333	0.533333	"Les Usclades"	"LM"	"C4B"	"Gif-8745"	7290	60	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	43.25	2.71	"l'Horte"	"EN"	"Structure. 11 Square 129"	"Ly-5702"	6450	120	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	43.685	6.824	"Lombard"	"EN"	"C3A"	"Ly-3331"	6190	120	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	43.685	6.824	"Lombard"	"EN"	"C5A"	"Ly-3332"	6110	120	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	43.806724	7.497243	"Pendimoun"	"EN"	"Ens. III INF26C"	"Ly-5691"	6160	130	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	43.806724	7.497243	"Pendimoun"	"EN"	"Ens. III INF26B"	"Ly-5692"	6610	110	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	43.806724	7.497243	"Pendimoun"	"EN"	"Niv C-D"	"Gif-6471"	6390	100	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	43.806724	7.497243	"Pendimoun"	"EN"	"C26B"	"Ly-5339"	6310	90	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	43.806724	7.497243	"Pendimoun"	"EN"	"Ens. III INF26C"	"Ly-5690"	6450	80	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	45.7833	3.08333	"Pontcharaud"	"EN"	"C1"	"Ly-7625"	7095	50	"F"	"Shennan et Steele 2000"	"Shennan00"
"France"	43.89	6.23	"Ravin De Mouresse Boline"	"LM"	"n/a"	"Gif-8930"	7760	80	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	44.303	4.568	"Saint Marcel d'Ardeche, Bidon"	"EN"	"CK"	"MC-2376"	6330	90	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	44.89	5.37	"Vassieux en Vercors"	"EN"	"SONDAGE S29 HB XV A -67 CM"	"Ly-800"	5825	65	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	44.89	5.37	"Vassieux en Vercors"	"EN"	"SONDAGE S5 EB A -50 CM"	"Ly-799"	5990	60	"WC"	"Shennan et Steele 2000"	"Shennan00"
"France"	45.209	5.633	"La Grande Rivoire"	"EN"	"B1b"	"Ly-176"	6000	70	"F"	"Skeates 2015"	"Skeates15"
"France"	49.02	4.27	"Les Grands Traquiers"	"EN"	NA	"Ly-4454"	6640	170	"WC"	"Tappret et Villes 1996"	"Tappret96"
"France"	42.44	2.34	"Camp del Ginebre"	"MN"	"n/a"	"Ly-267"	5100	60	"F"	"Vignaud 1998"	"Vignaud98"
"France"	42.44	2.34	"Camp del Ginebre"	"MN"	"n/a"	"Ly-226"	5355	45	"WC"	"Vignaud 1998"	"Vignaud98"
"France"	43.58	6.215	"Fontbregoua"	"EN"	"C42"	"Gif-2757"	5690	190	"WC"	"Villa et al. 1986"	"Villa86"
"France"	43.58	6.215	"Fontbregoua"	"EN"	"C42"	"Ly-4376"	6170	100	"WC"	"Willigen 2004"	"10.3406/bspf.2004.13028"
"France"	44.4	4.22	"La Tardive"	"EN"	"C2"	"Gif-7352"	5920	80	"WC"	"Willigen 2004"	"10.3406/bspf.2004.13028"
"France"	43.58	6.215	"Fontbregoua"	"EN"	"C40"	"Gif-2756"	5690	130	"WC"	"Willigen 2006"	"Willigen06"
"France"	43.636852	5.63962	"Mourre de la Barque"	"EN"	"D4"	"ETH-27980"	6285	65	"F"	"Willigen et al. 2009"	"10.1017/S0033822200056137"
"France"	43.636852	5.63962	"Mourre de la Barque"	"EN"	"D4"	"ETH-27978"	6165	65	"F"	"Willigen et al. 2009"	"10.1017/S0033822200056137"
"France"	43.636852	5.63962	"Mourre de la Barque"	"EN"	"D4"	"ETH-27981"	6065	65	"F"	"Willigen et al. 2009"	"10.1017/S0033822200056137"
"France"	43.636852	5.63962	"Mourre de la Barque"	"EN"	"D4"	"ETH-27979"	6225	60	"F"	"Willigen et al. 2009"	"10.1017/S0033822200056137"
"France"	43.636852	5.63962	"Mourre de la Barque"	"EN"	"C6"	"ETH-26417"	6305	55	"OR"	"Willigen et al. 2009"	"10.1017/S0033822200056137"
"France"	45.78	4.8	"Boul.Periph. Nord de Lyon"	"EN"	NA	"OxA-19858"	6062	33	"n/a"	NA	NA
"France"	43.49	2.89	"Camprafaud"	"EN"	"C18"	"Beta-433211"	5910	30	"F"	NA	NA
"France"	42.78	2.08	"Dourgne"	NA	NA	"MC-781"	5000	170	NA	NA	NA
"France"	43.58	6.215	"Fontbregoua"	"EN"	"n/a"	"Ly-6490"	6280	85	"WC"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C14"	"Beta-398972"	6310	30	"F"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C14"	"Beta-398971"	6250	30	"F"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C14"	"Beta-398970"	6180	30	"F"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C12b"	"Beta-398976"	6150	30	"F"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C13"	"Beta-398974"	6090	30	"F"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C13"	"Beta-398973"	6050	30	"F"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C13"	"Beta-398975"	6020	30	"F"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C12A"	"Beta-398977"	5770	30	"F"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C12A"	"Gif-7024"	5835	120	"n/a"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C16"	"Gif-7029"	6410	100	"n/a"	NA	NA
"France"	43.3	2.34	"Font-Juvenal"	"EN"	"C13"	"Gif-7026"	6080	70	"n/a"	NA	NA
"France"	43.29	2.4	"Gazel"	"EN"	"SCN-C2a"	"Beta-398946"	6190	30	"F"	NA	NA
"France"	43.29	2.4	"Gazel"	"EN"	"SCS-C2b"	"Beta-398945"	5930	30	"F"	NA	NA
"France"	43.29	2.4	"Gazel"	"EN"	"SCS-C2a"	"Beta-398944"	5870	30	"F"	NA	NA
"France"	43.29	2.4	"Gazel"	"EN"	"SCN-C2b"	"Beta-398947"	5780	30	"F"	NA	NA
"France"	43.29	2.4	"Gazel"	"EN"	"GII-SCN-F1"	"KN-Sm"	6540	200	"n/a"	NA	NA
"France"	44.01	5.17	"Grotte d'Unang"	"LM"	"C11"	"n/a"	6030	170	"WC"	NA	NA
"France"	45.209	5.633	"La Grande Rivoire"	"LM"	"GRIV87.6.55.B3"	"GrA-25066"	7435	45	"F"	NA	NA
"France"	45.209	5.633	"La Grande Rivoire"	"LM"	"GRIV.2.193.B2b"	"GrA-50236"	7030	40	"F"	NA	NA
"France"	45.209	5.633	"La Grande Rivoire"	"LM"	"GRIV89.26.140.B2b"	"Ly-5099"	6649	142	"WC"	NA	NA
"France"	45.209	5.633	"La Grande Rivoire"	"EN"	"GR09.Q17bd.d126.LBM/LGF"	"Ly-9370 (SacA-30348)"	6130	35	"WC"	NA	NA
"France"	45.209	5.633	"La Grande Rivoire"	"EN"	"GR08.R16ac+R17ac.d122.LN"	"Ly-7352 (SacA-20970)"	6090	35	"WC"	NA	NA
"France"	45.209	5.633	"La Grande Rivoire"	"EN"	"GR09.Q17c.d126.LBN"	"Ly-9369 (SacA-30347)"	6290	30	"WC"	NA	NA
"France"	45.209	5.633	"La Grande Rivoire"	"EN"	"GR09.Q19d.d124.LBl(G)"	"Ly-9371 (SacA-30349)"	6055	30	"WC"	NA	NA
"France"	43.806724	7.497243	"Pendimoun"	"EN"	"US 5557"	"Gif-A101340"	6450	90	"WC"	NA	NA
"France"	43.88	5.66	"Saint Mitre: Abri 3"	"EN"	"III couche Y11"	"MC-265"	6100	150	"WC"	NA	NA
"France"	43.88	5.66	"Saint Mitre: Abri 3"	"EN"	"III couche Z8-9"	"MC-264"	6700	130	"WC"	NA	NA
"France"	43.88	5.66	"Saint Mitre: Abri 3"	"EN"	"III couche Y10 coeur 3"	"MC-263"	6400	130	"WC"	NA	NA
