period.brev	period
EM	Early Mesolithic
MM	Middle Mesolithic
LM	Late Mesolithic
UM	Undefined Mesolithic
LMEN	Late Mesolithic/Early Neolithic
EN	Early Neolithic
EMN	Early/Middle Neolithic
MN	Middle Neolithic
LN	Late Neolithic
LNEBA	Late Neolithic/Early Bronze Age
EBA	Early Bronze Age
MBA	Middle Bronze Age
LBA	Late Bronze Age
UBA	Undefined Bronze Age
EIA	Early Iron Age
